Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D1","D_Small","D_SOD-123",-55.200000,-138.400000,90.000000,bottom
"D2","D_Small","D_SOD-123",-73.549000,-140.910000,90.000000,bottom
"D3","D_Small","D_SOD-123",-92.549000,-135.910000,90.000000,bottom
"D4","D_Small","D_SOD-123",-111.649000,-133.910000,90.000000,bottom
"D5","D_Small","D_SOD-123",-130.649000,-135.910000,90.000000,bottom
"D6","D_Small","D_SOD-123",-149.649000,-138.910000,90.000000,bottom
"D7","D_Small","D_SOD-123",-168.649000,-138.910000,90.000000,bottom
"D8","D_Small","D_SOD-123",-54.549000,-159.010000,90.000000,bottom
"D9","D_Small","D_SOD-123",-73.749000,-159.010000,90.000000,bottom
"D10","D_Small","D_SOD-123",-92.549000,-154.010000,90.000000,bottom
"D11","D_Small","D_SOD-123",-111.549000,-152.010000,90.000000,bottom
"D12","D_Small","D_SOD-123",-130.549000,-154.010000,90.000000,bottom
"D13","D_Small","D_SOD-123",-149.549000,-157.010000,90.000000,bottom
"D14","D_Small","D_SOD-123",-168.549000,-157.010000,90.000000,bottom
"D15","D_Small","D_SOD-123",-54.549000,-177.010000,90.000000,bottom
"D16","D_Small","D_SOD-123",-73.549000,-177.010000,90.000000,bottom
"D17","D_Small","D_SOD-123",-92.549000,-172.010000,90.000000,bottom
"D18","D_Small","D_SOD-123",-111.549000,-170.010000,90.000000,bottom
"D19","D_Small","D_SOD-123",-130.549000,-172.010000,90.000000,bottom
"D20","D_Small","D_SOD-123",-149.549000,-175.010000,90.000000,bottom
"D21","D_Small","D_SOD-123",-168.549000,-175.010000,90.000000,bottom
"D22","D_Small","D_SOD-123",-54.549000,-195.060000,90.000000,bottom
"D23","D_Small","D_SOD-123",-73.549000,-195.010000,90.000000,bottom
"D24","D_Small","D_SOD-123",-92.549000,-190.010000,90.000000,bottom
"D25","D_Small","D_SOD-123",-111.549000,-188.010000,90.000000,bottom
"D26","D_Small","D_SOD-123",-130.549000,-190.010000,90.000000,bottom
"D27","D_Small","D_SOD-123",-149.549000,-193.010000,90.000000,bottom
"D28","D_Small","D_SOD-123",-168.549000,-193.010000,90.000000,bottom
"D29","D_Small","D_SOD-123",-54.549000,-213.010000,90.000000,bottom
"D30","D_Small","D_SOD-123",-73.549000,-213.010000,90.000000,bottom
"D31","D_Small","D_SOD-123",-92.549000,-208.060000,90.000000,bottom
"D32","D_Small","D_SOD-123",-111.549000,-206.010000,90.000000,bottom
"D33","D_Small","D_SOD-123",-130.749000,-208.210000,90.000000,bottom
"D34","D_Small","D_SOD-123",-136.200000,-214.900000,60.000000,bottom
"D35","D_Small","D_SOD-123",-151.200000,-224.300000,60.000000,bottom
