"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"MX30";"MXOnly-2U-Hotswap";1;"LAYER1";;;
2;"MX29";"MXOnly-2U-Hotswap";1;"SPACE";;;
3;"MX28";"MXOnly-1U-Hotswap-Antishear";1;"MX-NoLED";;;
4;"MX23";"MXOnly-1U-Hotswap-Antishear";1;"V";;;
5;"U1";"nice_nano";1;"nice_nano";;;
6;"MX26";"MXOnly-1U-Hotswap-Antishear";1;"OPTION";;;
7;"MX1";"MXOnly-1U-Hotswap-Antishear";1;"GRV";;;
8;"MX16";"MXOnly-1U-Hotswap-Antishear";1;"D";;;
9;"MX22";"MXOnly-1U-Hotswap-Antishear";1;"C";;;
10;"MX25";"MXOnly-1U-Hotswap-Antishear";1;"CTRL";;;
11;"MX3";"MXOnly-1U-Hotswap-Antishear";1;"#2";;;
12;"MX2";"MXOnly-1U-Hotswap-Antishear";1;"#1";;;
13;"MX11";"MXOnly-1U-Hotswap-Antishear";1;"R";;;
14;"MX5";"MXOnly-1U-Hotswap-Antishear";1;"#4";;;
15;"MX21";"MXOnly-1U-Hotswap-Antishear";1;"X";;;
16;"MX7";"MXOnly-1U-Hotswap-Antishear";1;"TAB";;;
17;"MX20";"MXOnly-1U-Hotswap-Antishear";1;"Z";;;
18;"MX4";"MXOnly-1U-Hotswap-Antishear";1;"#3";;;
19;"J1";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";1;"Battery Connector";;;
20;"MX19";"MXOnly-1U-Hotswap-Antishear";1;"SHIFT";;;
21;"MX15";"MXOnly-1U-Hotswap-Antishear";1;"S";;;
22;"MX8";"MXOnly-1U-Hotswap-Antishear";1;"Q";;;
23;"MX17";"MXOnly-1U-Hotswap-Antishear";1;"F";;;
24;"MX10";"MXOnly-1U-Hotswap-Antishear";1;"E";;;
25;"MX24";"MXOnly-1U-Hotswap-Antishear";1;"B";;;
26;"SW2";"SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile";1;"SW_SPST";;;
27;"MX14";"MXOnly-1U-Hotswap-Antishear";1;"A";;;
28;"J2";"PinSocket_1x08_P2.54mm_Vertical";1;"E Ink Display";;;
29;"MX9";"MXOnly-1U-Hotswap-Antishear";1;"W";;;
30;"SW1";"SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile";1;"SW_Push";;;
31;"MX27";"MXOnly-1U-Hotswap-Antishear";1;"CMD";;;
32;"MX12";"MXOnly-1U-Hotswap-Antishear";1;"T";;;
33;"MX18";"MXOnly-1U-Hotswap-Antishear";1;"G";;;
34;"MX6";"MXOnly-1U-Hotswap-Antishear";1;"#5";;;
35;"MX13";"MXOnly-1U-Hotswap-Antishear";1;"ESC";;;
36;"D17,D14,D9,D21,D6,D26,D29,D7,D23,D12,D3,D28,D22,D15,D11,D24,D27,D30,D20,D19,D1,D25,D4,D2,D8,D5,D10,D18,D13,D16";"D_SOD-123";30;"D_Small";;;
